refYear,partnerISO,partnerDesc,fobvalue,netWgt,qtyUnitAbbr,valuePerUnit
2020,IDN,Indonesia,18543593.37,7220830,kg,2.56806951139966
2020,BRA,Brazil,3950,2300,kg,1.71739130434783
2020,BRA,Brazil,27.413,1.268,kg,21.6190851735016
2020,GHA,Ghana,11027881.849,4848190,kg,2.27463895783787
2020,IDN,Indonesia,54975.036,23894,kg,2.30078831505817
2020,IDN,Indonesia,32001168.043,14078211,kg,2.27309904951702
2020,IDN,Indonesia,10699088.925,151140256.659,kg,0.0707891409046572
2020,IDN,Indonesia,21982052.29,8967210.4,kg,2.4513813448606
2020,IDN,Indonesia,1033455,315000,kg,3.28080952380952
2020,NGA,Nigeria,9134.141,550,kg,16.6075290909091
2020,IDN,Indonesia,110491.95,52280.9,kg,2.11342861350895
2020,IDN,Indonesia,138988.8,220000,kg,0.631767272727273
2020,IDN,Indonesia,38804684,16127386,kg,2.40613599748899
2020,IDN,Indonesia,3309887.17,2128816,kg,1.55480190396915
2021,BRA,Brazil,280940.363,51376.8,kg,5.4682339694181
2021,IDN,Indonesia,38681208.48,17158600,kg,2.25433359831222
2021,CIV,C矌e d'Ivoire,50.834,8,kg,6.35425
2021,IDN,Indonesia,121000,50574,kg,2.39253371297505
2021,IDN,Indonesia,15984470.521,8354246,kg,1.91333491029591
2021,IDN,Indonesia,19570773.348,6627600,kg,2.95292011406844
2021,NGA,Nigeria,359.046,15000,kg,0.0239364
2021,IDN,Indonesia,160022773.19,65915440,kg,2.42769786851154
2021,BRA,Brazil,35317996.591,39751057.079,kg,0.888479431397513
2021,GHA,Ghana,10944.566,1500,kg,7.29637733333333
2021,IDN,Indonesia,40337827.728,15503800,kg,2.60180263728892
2021,BRA,Brazil,49260118.001,20520500,kg,2.40053205336127
2021,IDN,Indonesia,218546071.628,100379060,kg,2.17720779242205
2021,IDN,Indonesia,325030.805,152300,kg,2.13414842416284
2021,IDN,Indonesia,20235772.805,8459560,kg,2.39205972946584
2021,BRA,Brazil,17545,3000,kg,5.84833333333333
2021,GHA,Ghana,3227.82,11000,kg,0.293438181818182
2021,IDN,Indonesia,60341347.567,29794860,kg,2.02522675276877
2021,IDN,Indonesia,24855779.537,70787640,kg,0.35113163169446
2021,IDN,Indonesia,32611162.77,13178900,kg,2.47449808178224
2021,IDN,Indonesia,773253,243970,kg,3.16945935975735
2021,IDN,Indonesia,778501.146,350000,kg,2.22428898857143
2021,IDN,Indonesia,2582.709,960,kg,2.690321875
2021,IDN,Indonesia,24549499.08,10964600,kg,2.23897808219178
2021,IDN,Indonesia,7891719.8,3386044,kg,2.33066073565494
2021,IDN,Indonesia,1315440,378000,kg,3.48
2022,BRA,Brazil,67778.359,13065.6,kg,5.18754278410482
2022,IDN,Indonesia,56182.598,24994.2,kg,2.2478254154964
2022,IDN,Indonesia,30768225.453,13951620,kg,2.20535145402469
2022,CIV,C矌e d'Ivoire,91.215,16,kg,5.7009375
2022,CIV,C矌e d'Ivoire,503.646,260,kg,1.9371
2022,IDN,Indonesia,10712050.681,6785594,kg,1.57864597867187
2022,IDN,Indonesia,156892626.1,70650535,kg,2.22068560556548
2022,IDN,Indonesia,52.03,51,kg,1.02019607843137
2022,CIV,C矌e d'Ivoire,738.187,36,kg,20.5051944444444
2022,IDN,Indonesia,140001.004,132215,kg,1.05888896116174
2022,IDN,Indonesia,9790790.571,3540000,kg,2.76576004830509
2022,BRA,Brazil,57378896.46,25525475,kg,2.24790709908435
2022,IDN,Indonesia,106658589.111,50225285,kg,2.12360346210081
2022,IDN,Indonesia,1138415.049,557452,kg,2.04217591649147
2022,IDN,Indonesia,25278406.703,11364300,kg,2.22436988666262
2022,IDN,Indonesia,86281672.825,42568940,kg,2.02686918736995
2022,IDN,Indonesia,32765991.582,46634900,kg,0.702606665437258
