Production (tonnes),Yield (tonnes/hectare),Avg_Price_Per_Unit,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall,Country,Date
330577.0,0.47320002,1.2174,24.648493150684935,18.7,28.9,0,44.0,5.2873972602739725,1929.9,Brazil,1994
296705.0,0.40170002,1.0387021185199043,25.016164383561645,21.8,29.7,0,35.5,5.19041095890411,1894.5,Brazil,1995
277966.0,0.38840002,1.51134947449922,25.242191780821916,21.5,30.9,0,36.7,4.567671232876712,1667.2,Brazil,1997
280801.0,0.39560002,1.1202631690855716,25.90164383561644,22.7,29.4,0,39.0,4.1997260273972605,1532.9,Brazil,1998
205003.0,0.30100003,0.974163771415404,24.843287671232876,21.4,29.7,0,50.9,4.935342465753425,1801.4,Brazil,1999
196788.0,0.2788,0.735751467120373,24.831967213114755,21.0,29.5,0,66.0,5.038524590163934,1844.1,Brazil,2000
185662.0,0.2789,0.7729203926854981,24.94438356164384,22.2,28.8,0,33.3,4.704383561643835,1717.1,Brazil,2001
174796.0,0.30020002,1.56434619025688,25.683287671232875,21.9,29.7,0,38.6,3.799452054794521,1386.8,Brazil,2002
170004.0,0.28770003,1.87355593773649,24.946849315068494,22.0,29.0,0,30.3,4.718082191780821,1722.1,Brazil,2003
196005.0,0.3068,1.503224996500365,25.071584699453553,22.0,28.8,0,43.6,5.331420765027322,1951.3,Brazil,2004
208620.0,0.3336,1.36278391479627,25.343013698630138,20.5,30.6,0,50.7,5.982739726027397,2183.7,Brazil,2005
212270.0,0.328,1.0239369363725357,25.044109589041096,21.5,29.5,0,41.8,4.82027397260274,1759.4,Brazil,2006
201651.0,0.32060003,3.5858670913343653,25.37780821917808,22.3,29.0,0,32.3,4.48054794520548,1635.4,Brazil,2007
202030.0,0.31500003,3.185945602395645,25.078688524590163,21.6,29.9,0,71.4,5.481693989071038,2006.3,Brazil,2008
218487.0,0.34350002,3.13429212694391,25.00164383561644,22.0,28.9,0,38.3,5.48986301369863,2003.8,Brazil,2009
235389.0,0.3563,2.5999916390634747,25.9572602739726,21.7,30.3,0,84.2,5.050684931506849,1843.5,Brazil,2010
248524.0,0.36520004,4.01129711759194,25.088219178082195,21.6,30.8,0,47.0,5.2534246575342465,1917.5,Brazil,2011
253211.0,0.37,2.7015264464366484,25.1396174863388,21.6,30.2,0,49.9,4.983333333333333,1823.9,Brazil,2012
256186.0,0.37170002,3.36849102092429,25.236712328767123,21.4,29.0,0,130.4,5.834794520547945,2129.7,Brazil,2013
273793.0,0.3888,5.0764316000323255,25.40767123287671,21.2,29.4,0,39.2,4.613972602739726,1684.1,Brazil,2014
278299.0,0.39600003,3.4853446360227247,25.85753424657534,22.2,30.7,0,40.7,3.887123287671233,1418.8,Brazil,2015
213871.0,0.29700002,3.653938604516553,26.01775956284153,22.8,29.8,0,67.4,4.743715846994536,1736.2,Brazil,2016
235809.0,0.39910004,4.296545384593464,25.384931506849316,21.8,30.0,0,35.1,4.676986301369863,1707.1,Brazil,2017
239318.0,0.4146,2.6608941686683893,24.93671232876712,22.1,28.3,0,56.2,4.91013698630137,1792.2,Brazil,2018
259451.0,0.44590002,3.026257186884609,25.2441095890411,22.9,29.4,0,105.3,4.465479452054795,1629.9,Brazil,2019
269740.0,0.4584,3.033856325325887,25.28087431693989,22.0,29.9,0,62.6,4.643169398907104,1699.4,Brazil,2020
302126.0,0.5029,3.6513946968775537,24.965205479452052,20.9,29.2,0,90.4,5.99917808219178,2189.7,Brazil,2021
301026.0,0.49940002,3.717724941594585,25.328767123287673,19.6,29.7,0,37.6,4.637260273972603,1692.6,Brazil,2022
296145.0,0.4833,2.503237185100369,25.623287671232877,21.7,31.6,0,51.5,4.3,1569.5,Brazil,2023
322490.0,0.3,1.41762191780822,27.559452054794523,22.9,32.1,0,50.6,2.7013698630136984,986.0,Ghana,1997
409360.0,0.3,1.254909800086919,28.30958904109589,23.3,33.7,0,51.6,2.76,1007.4,Ghana,1998
434200.0,0.33400002,0.326002270213927,27.25178082191781,22.8,31.7,0,47.8,3.447945205479452,1258.5,Ghana,1999
436600.0,0.29110003,1.842,27.74262295081967,23.4,32.8,0,30.5,2.5185792349726777,921.8,Ghana,2000
340562.0,0.28500003,1.68918918918919,27.86356164383562,22.9,32.9,0,34.3,2.6213698630136983,956.8,Ghana,2002
737000.0,0.36850002,0.8873784299067254,27.950819672131143,22.9,32.0,0,65.1,2.463934426229508,901.8,Ghana,2004
734000.0,0.4,1.74021232113395,28.18849315068493,23.3,32.3,0,69.0,2.272876712328767,829.6,Ghana,2006
614500.0,0.42000002,1.916339929432235,28.083835616438357,22.5,33.3,0,72.2,2.5556164383561644,932.8,Ghana,2007
680781.0,0.37350002,2.50540067242629,27.880054644808745,22.5,31.9,0,41.5,2.454918032786886,898.5,Ghana,2008
710638.0,0.44410002,1.9831949283871833,27.99205479452055,22.4,32.4,0,33.5,2.5235616438356163,921.1,Ghana,2009
632037.4,0.395,2.04665418227216,28.048219178082192,23.0,32.8,0,23.9,2.797808219178082,1021.2,Ghana,2010
700020.0,0.4374,2.931311996138021,27.696164383561644,22.6,31.5,0,97.8,2.990684931506849,1091.6,Ghana,2011
879348.0,0.54950005,2.29946062855904,27.501639344262298,22.8,32.2,0,60.4,2.8584699453551914,1046.2,Ghana,2012
835466.0,0.5221,2.7803018735795404,27.757808219178084,22.7,32.6,0,84.5,2.621917808219178,957.0,Ghana,2013
858720.0,0.51000005,4.832046683036645,27.7986301369863,23.4,31.7,0,65.1,2.855342465753425,1042.2,Ghana,2014
858720.0,0.51000005,3.8978755499176025,28.026849315068493,23.7,32.0,0,40.0,2.2024657534246574,803.9,Ghana,2015
858720.0,0.51000005,3.1879821494496796,28.353825136612024,23.2,33.2,0,61.4,2.8308743169398904,1036.1,Ghana,2016
969300.0,0.5201,1.90936662867133,28.159178082191783,23.5,32.8,0,35.9,2.511780821917808,916.8,Ghana,2017
904700.0,0.52400005,2.8912450160103966,27.46027397260274,23.2,31.3,0,38.1,2.9591780821917806,1080.1,Ghana,2018
811700.0,0.52820003,2.7684908203564667,28.121917808219177,23.5,32.6,0,34.4,3.6424657534246574,1329.5,Ghana,2019
800000.0,0.54170007,3.9675655425908865,27.987704918032787,23.6,32.4,0,35.1,2.8155737704918034,1030.5,Ghana,2020
1047385.0,0.5526,3.794907757575756,28.14246575342466,23.5,32.5,0,115.8,3.261369863013699,1190.4,Ghana,2021
653700.0,0.56820005,2.48705759264872,27.744657534246578,23.6,32.4,0,86.6,3.7180821917808218,1357.1,Ghana,2023
174899.0,0.95080006,0.88878,26.102465753424656,23.6,28.9,0,41.2,4.083013698630137,1490.3,Indonesia,1991
329700.0,0.8528,1.5560899158499766,26.09178082191781,23.8,29.0,0,31.6,3.2969863013698633,1203.4,Indonesia,1997
456499.0,1.1323001,1.5333509283045563,26.73397260273973,24.1,29.3,0,32.1,6.673698630136987,2435.9,Indonesia,1998
367475.0,0.55020005,1.1023963138922417,25.946027397260274,23.4,28.9,0,56.5,6.123835616438356,2235.2,Indonesia,1999
421142.0,0.5616,0.8221754694088661,25.95792349726776,23.2,28.5,0,44.1,6.322677595628415,2314.1,Indonesia,2000
536804.0,0.7013,0.9568814569555228,26.2427397260274,22.9,29.7,0,31.5,4.85041095890411,1770.4,Indonesia,2001
619192.0,0.79700005,1.0784786368409285,26.16794520547945,23.5,29.3,0,37.3,4.598356164383562,1678.4,Indonesia,2002
695361.0,0.7235,1.3463512512627986,26.30109589041096,23.5,29.6,0,49.5,5.857808219178082,2138.1,Indonesia,2003
691704.0,0.634,1.2459908519359388,26.339617486338796,23.2,29.8,0,27.9,4.274316939890711,1564.4,Indonesia,2004
748827.0,0.6416,1.3000249284544514,26.62383561643836,24.8,29.2,0,31.9,4.658904109589041,1700.5,Indonesia,2005
769386.0,0.84950006,1.1696016108374332,26.244383561643836,22.9,30.0,0,51.1,4.347945205479452,1587.0,Indonesia,2006
740006.0,0.80090004,1.70413903794568,26.22931506849315,22.3,29.9,0,56.9,5.624931506849315,2053.1,Indonesia,2007
803593.0,0.56380004,3.35031182284694,26.04863387978142,23.0,28.9,0,31.0,5.643169398907104,2065.4,Indonesia,2008
