"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Angola","AGO",2005,241.81,0.1067,"Normal"
"Angola","AGO",2006,265.87,0.110800005,"Normal"
"Angola","AGO",2007,297.38,0.11800001,"Normal"
"Angola","AGO",2008,316.45,0.12280001,"Normal"
"Angola","AGO",2009,335.6,0.12750001,"Normal"
"Angola","AGO",2010,354.29,0.13210002,"Normal"
"Angola","AGO",2011,372.2,0.13630001,"Normal"
"Angola","AGO",2012,400,0.16000001,"Normal"
"Angola","AGO",2013,410,0.16080001,"Normal"
"Angola","AGO",2014,418.19,0.1534,"Normal"
"Angola","AGO",2015,428.72,0.15100001,"Normal"
"Angola","AGO",2016,438.21,0.162,"Normal"
"Angola","AGO",2017,447.67,0.1624,"Normal"
"Angola","AGO",2018,457.23,0.1609,"Normal"
"Angola","AGO",2019,463.57,0.16350001,"Normal"
"Angola","AGO",2020,456.16,0.16100001,"Normal"
"Angola","AGO",2021,458.98,0.1619,"Normal"
"Angola","AGO",2022,459.57,0.16210002,"Normal"
"Angola","AGO",2023,458.24,0.16170001,"Normal"
"Belize","BLZ",1961,17,0.2125,"Normal"
"Belize","BLZ",1962,2,0.2,"Normal"
"Belize","BLZ",1963,58,0.24170001,"Normal"
"Belize","BLZ",1964,50,0.23810002,"Normal"
"Belize","BLZ",1965,55,0.25,"Normal"
"Belize","BLZ",1966,20,0.2222,"Normal"
"Belize","BLZ",1967,25,0.25,"Normal"
"Belize","BLZ",1968,35,0.23330002,"Normal"
"Belize","BLZ",1969,12,0.24000001,"Normal"
"Belize","BLZ",1970,17,0.2125,"Normal"
"Belize","BLZ",1971,20,0.2222,"Normal"
"Belize","BLZ",1972,25,0.25,"Normal"
"Belize","BLZ",1973,37,0.2467,"Normal"
"Belize","BLZ",1974,40,0.25,"Normal"
"Belize","BLZ",1975,42,0.24710001,"Normal"
"Belize","BLZ",1976,42,0.24710001,"Normal"
"Belize","BLZ",1977,45,0.25,"Normal"
"Belize","BLZ",1978,45,0.25,"Normal"
"Belize","BLZ",1979,45,0.25,"Normal"
"Belize","BLZ",1980,44,0.2588,"Normal"
"Belize","BLZ",1981,44,0.2588,"Normal"
"Belize","BLZ",1982,42,0.28970003,"Normal"
"Belize","BLZ",1983,41,0.28470004,"Normal"
"Belize","BLZ",1984,55,0.36670002,"Normal"
"Belize","BLZ",1985,64,0.3765,"Normal"
"Belize","BLZ",1986,80,0.381,"Normal"
"Belize","BLZ",1987,66,0.36670002,"Normal"
"Belize","BLZ",1988,57,0.31670004,"Normal"
"Belize","BLZ",1989,83,0.1529,"Normal"
"Belize","BLZ",1990,167,0.2272,"Normal"
"Belize","BLZ",1991,91,0.14220001,"Normal"
"Belize","BLZ",1992,143,0.17960002,"Normal"
"Belize","BLZ",1993,72,0.1304,"Normal"
"Belize","BLZ",1994,24,0.0405,"Normal"
"Belize","BLZ",1995,34,0.080400005,"Normal"
"Belize","BLZ",1996,55,0.1763,"Normal"
"Belize","BLZ",1997,84,0.1522,"Normal"
"Belize","BLZ",1998,90,0.1327,"Normal"
"Belize","BLZ",1999,23,0.30260003,"Normal"
"Belize","BLZ",2000,30,0.3659,"Normal"
"Belize","BLZ",2001,30,0.3659,"Normal"
"Belize","BLZ",2002,25,0.625,"Normal"
"Belize","BLZ",2003,41,0.6833,"Normal"
"Belize","BLZ",2004,40,0.74070007,"Normal"
"Belize","BLZ",2005,22,0.68750006,"Normal"
"Belize","BLZ",2006,43,0.67190003,"Normal"
"Belize","BLZ",2007,25,0.8065,"Normal"
"Belize","BLZ",2008,50,0.47620004,"Normal"
"Belize","BLZ",2009,39,0.32230002,"Normal"
"Belize","BLZ",2010,26,0.2149,"Normal"
"Belize","BLZ",2011,26,0.1287,"Normal"
"Belize","BLZ",2012,68,0.33660004,"Normal"
"Belize","BLZ",2013,66,0.1026,"Normal"
"Belize","BLZ",2014,75,0.105900005,"Normal"
"Belize","BLZ",2015,71.84,0.10490001,"Normal"
"Belize","BLZ",2016,85,0.3151,"Normal"
"Belize","BLZ",2017,244,0.5951,"Normal"
"Belize","BLZ",2018,110,0.4433,"Normal"
"Belize","BLZ",2019,110,0.40770003,"Normal"
"Belize","BLZ",2020,112,0.49,"Normal"
"Belize","BLZ",2021,174,0.51620007,"Normal"
"Belize","BLZ",2022,376,0.60940003,"Normal"
"Belize","BLZ",2023,233,0.2968,"Normal"
"Bolivia","BOL",1961,1100,0.31870002,"Normal"
"Bolivia","BOL",1962,1100,0.31570002,"Normal"
"Bolivia","BOL",1963,1100,0.3463,"Normal"
"Bolivia","BOL",1964,1100,0.3431,"Normal"
"Bolivia","BOL",1965,1100,0.3633,"Normal"
"Bolivia","BOL",1966,1000,0.32720003,"Normal"
"Bolivia","BOL",1967,1200,0.3599,"Normal"
"Bolivia","BOL",1968,1300,0.36,"Normal"
"Bolivia","BOL",1969,1300,0.35620004,"Normal"
"Bolivia","BOL",1970,1300,0.35140002,"Normal"
"Bolivia","BOL",1971,1750,0.53270006,"Normal"
"Bolivia","BOL",1972,2485,0.53040004,"Normal"
"Bolivia","BOL",1973,1370,0.3028,"Normal"
"Bolivia","BOL",1974,2354,0.5101,"Normal"
"Bolivia","BOL",1975,2735,0.5734001,"Normal"
"Bolivia","BOL",1976,2995,0.5793,"Normal"
"Bolivia","BOL",1977,3110,0.5873,"Normal"
"Bolivia","BOL",1978,2165,0.544,"Normal"
"Bolivia","BOL",1979,2020,0.5012,"Normal"
"Bolivia","BOL",1980,2260,0.53940004,"Normal"
"Bolivia","BOL",1981,2235,0.52340007,"Normal"
"Bolivia","BOL",1982,2342,0.5472,"Normal"
"Bolivia","BOL",1983,2250,0.5202,"Normal"
"Bolivia","BOL",1984,2747,0.6043,"Normal"
"Bolivia","BOL",1985,3020,0.6442,"Normal"
"Bolivia","BOL",1986,3520,0.64000005,"Normal"
"Bolivia","BOL",1987,3640,0.65470004,"Normal"
"Bolivia","BOL",1988,3490,0.6536,"Normal"
"Bolivia","BOL",1989,3580,0.6571,"Normal"
"Bolivia","BOL",1990,3591,0.6511,"Normal"
"Bolivia","BOL",1991,3616,0.65990007,"Normal"
"Bolivia","BOL",1992,3545,0.63870007,"Normal"
"Bolivia","BOL",1993,3710,0.6625,"Normal"
"Bolivia","BOL",1994,3765,0.67840004,"Normal"
"Bolivia","BOL",1995,3850,0.67480004,"Normal"
"Bolivia","BOL",1996,3860,0.6713,"Normal"
"Bolivia","BOL",1997,4000,0.68970007,"Normal"
"Bolivia","BOL",1998,4000,0.68970007,"Normal"
"Bolivia","BOL",1999,4200,0.7216,"Normal"
"Bolivia","BOL",2000,4300,0.735,"Normal"
"Bolivia","BOL",2001,4320,0.7372,"Normal"
"Bolivia","BOL",2002,4325,0.73740005,"Normal"
"Bolivia","BOL",2003,4201,0.80490005,"Normal"
"Bolivia","BOL",2004,4268,0.8173,"Normal"
"Bolivia","BOL",2005,4358,0.8251,"Normal"
"Bolivia","BOL",2006,4474,0.8378,"Normal"
"Bolivia","BOL",2007,4699,0.8594001,"Normal"
"Bolivia","BOL",2008,4745,0.8665,"Normal"
"Bolivia","BOL",2009,4510,0.5324001,"Normal"
"Bolivia","BOL",2010,4449.75,0.5341,"Normal"
"Bolivia","BOL",2011,4579.77,0.5393,"Normal"
"Bolivia","BOL",2012,4762.68,0.45290002,"Normal"
"Bolivia","BOL",2013,7325.04,0.5403,"Normal"
"Bolivia","BOL",2014,5971,0.5855,"Normal"
"Bolivia","BOL",2015,6065,0.5906,"Normal"
