typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","288","GHA","Ghana","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39337500","false","-1","N/A",,"false","39337500","false",,"false",,"109212599","109212599","0","true","false",
"C","A","20130101","2013","52","2013","288","GHA","Ghana","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","554","false","-1","N/A",,"false","554","false",,"false",,"458","458","0","true","false",
"C","A","20130101","2013","52","2013","384","CIV","Côte d'Ivoire","X","Export","288","GHA","Ghana","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1501500","false","8","kg","1501500","false","1501500","false","0","false",,"3703449.317","3703449.317","0","false","true",
"C","A","20130101","2013","52","2013","384","CIV","Côte d'Ivoire","X","Export","360","IDN","Indonesia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15768510","false","8","kg","15768510","false","15768510","false","0","false",,"37482457.622","37482457.622","0","false","true",
"C","A","20130101","2013","52","2013","458","MYS","Malaysia","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","975875","false","-1","N/A",,"false","975875","false",,"false",,"2595273","2595273","0","true","false",
"C","A","20130101","2013","52","2013","360","IDN","Indonesia","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126402101","false","-1","N/A",,"false","126402101","false",,"false",,"302161629","302161629","0","true","false",
"C","A","20130101","2013","52","2013","384","CIV","Côte d'Ivoire","X","Export","458","MYS","Malaysia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68516745.002","true","-1","N/A","0","false","68516745.002","true","0","false",,"164509295.487","164509295.487","6","false","true",
"C","A","20130101","2013","52","2013","604","PER","Peru","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49920","false","8","kg","49920","false","49920","false","0","false",,"134184.96","134184.96","0","false","true",
"C","A","20130101","2013","52","2013","591","PAN","Panama","X","Export","214","DOM","Dominican Rep.","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4536.136","true","-1","N/A","0","false","4536.136","true","5050","false","0","14000","14000","6","false","true",
"C","A","20130101","2013","52","2013","558","NIC","Nicaragua","X","Export","218","ECU","Ecuador","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1206","false","-1","N/A",,"false","1206","false",,"false",,"7685","7685","0","true","false",
"C","A","20130101","2013","52","2013","566","NGA","Nigeria","X","Export","360","IDN","Indonesia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","90000","false","-1","N/A",,"false","90000","false",,"false",,"39456","39456","0","true","false",
"C","A","20130101","2013","52","2013","604","PER","Peru","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","298760","false","8","kg","298760","false","298760","false","0","false",,"833639.44","833639.44","0","false","true",
"C","A","20130101","2013","52","2013","608","PHL","Philippines","X","Export","360","IDN","Indonesia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30000","false","-1","N/A",,"false","30000","false",,"false",,"72000","72000","0","true","false",
"C","A","20130101","2013","52","2013","528","NLD","Netherlands","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","75812","false","8","kg","75812","false","75812","false","0","false",,"43037.327","43037.327","0","false","true",
"C","A","20130101","2013","52","2013","566","NGA","Nigeria","X","Export","458","MYS","Malaysia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12371718","false","-1","N/A",,"false","12371718","false",,"false",,"63922960","63922960","0","true","false",
